"","YEAR","SERIAL","PERNUM","STATEFIP","SEX","AGE","RELATE","MOMLOC","POPLOC","NCHILD","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","GQ","PERWT"
"1",2010,26646,1,4,1,66,1,0,0,0,1,1,1,1,7,"High School or More",43300,"$20,000+",3,3,1,72
"2",2010,26646,2,4,2,61,2,3,0,0,1,1,1,1,5,"Less than High School",43300,"$20,000+",3,3,1,82
"3",2010,26646,3,4,2,93,6,0,0,1,5,0,1,1,2,"Less than High School",43300,"$20,000+",3,3,1,113
"4",2010,27067,1,4,2,38,1,0,3,1,6,0,3,1,6,"High School or More",45820,"$20,000+",3,3,1,84
"5",2010,27067,2,4,2,3,3,1,0,0,6,0,1,1,0,"Less than High School",45820,"$20,000+",3,3,1,84
"6",2010,27067,3,4,1,81,5,0,0,1,2,1,3,1,2,"Less than High School",45820,"$20,000+",3,3,1,134
"7",2010,27614,1,4,1,69,1,0,0,0,1,1,7,1,10,"High School or More",93490,"$20,000+",4,4,1,61
"8",2010,27614,2,4,2,63,2,4,0,0,1,1,7,1,10,"High School or More",93490,"$20,000+",4,4,1,51
"9",2010,27614,3,4,1,17,9,0,0,0,6,0,7,1,4,"Less than High School",93490,"$20,000+",4,4,1,75
"10",2010,27614,4,4,2,86,6,0,0,1,5,0,7,1,2,"Less than High School",93490,"$20,000+",4,4,1,77
"11",2010,27763,1,4,2,87,1,0,0,1,5,0,1,1,1,"Less than High School",34700,"$20,000+",2,2,1,59
"12",2010,27763,2,4,2,54,3,1,0,0,4,0,1,1,6,"High School or More",34700,"$20,000+",2,2,1,70
"13",2010,27955,1,4,2,80,1,0,0,1,5,0,1,1,11,"High School or More",81800,"$20,000+",2,2,1,75
"14",2010,27955,2,4,1,39,3,1,0,0,6,0,1,1,6,"High School or More",81800,"$20,000+",2,2,1,110
"15",2010,28136,1,4,1,85,1,0,0,1,2,1,1,1,1,"Less than High School",0,"< $20,000",2,2,1,64
"16",2010,28136,2,4,1,39,3,0,1,0,4,0,1,1,7,"High School or More",0,"< $20,000",2,2,1,74
"17",2010,28318,1,4,2,81,1,0,0,1,1,1,1,1,6,"High School or More",1e+05,"$20,000+",7,7,1,301
"18",2010,28318,2,4,1,87,2,0,0,1,1,1,1,1,2,"Less than High School",1e+05,"$20,000+",7,7,1,177
"19",2010,28318,3,4,2,41,3,1,2,3,1,1,1,1,6,"High School or More",1e+05,"$20,000+",7,7,1,325
"20",2010,28318,4,4,2,16,9,3,7,0,6,0,1,1,4,"Less than High School",1e+05,"$20,000+",7,7,1,296
"21",2010,28318,5,4,2,13,9,3,7,0,6,0,1,1,2,"Less than High School",1e+05,"$20,000+",7,7,1,316
"22",2010,28318,6,4,1,4,9,3,7,0,6,0,1,1,0,"Less than High School",1e+05,"$20,000+",7,7,1,230
"23",2010,28318,7,4,1,43,4,0,0,3,1,1,1,1,8,"High School or More",1e+05,"$20,000+",7,7,1,307
"24",2010,28509,1,4,2,61,1,3,0,0,1,1,1,1,6,"High School or More",50000,"$20,000+",3,3,1,117
"25",2010,28509,3,4,2,93,5,0,0,1,5,0,1,1,6,"High School or More",50000,"$20,000+",3,3,1,157
"26",2010,30695,1,4,1,82,1,0,0,1,1,1,1,1,2,"Less than High School",75000,"$20,000+",3,3,1,45
