"","YEAR","SERIAL","PERNUM","STATEFIP","SEX","AGE","RELATE","MOMLOC","POPLOC","NCHILD","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","GQ","PERWT"
"1",2010,26305,1,4,1,57,1,2,0,0,2,1,1,0,10,"High School or More",92800,"$20,000+",2,2,1,83
"2",2010,26305,2,4,2,88,5,0,0,1,5,0,1,0,7,"High School or More",92800,"$20,000+",2,2,1,109
"3",2010,26374,1,4,1,93,1,0,0,1,1,1,1,0,11,"High School or More",25800,"$20,000+",3,3,1,53
"4",2010,26374,2,4,2,80,2,0,0,1,1,1,1,0,6,"High School or More",25800,"$20,000+",3,3,1,58
"5",2010,26374,3,4,1,57,3,2,1,0,4,0,1,0,10,"High School or More",25800,"$20,000+",3,3,1,73
"6",2010,26447,1,4,2,81,1,0,0,1,1,1,1,0,11,"High School or More",84500,"$20,000+",3,3,1,72
"7",2010,26447,2,4,1,84,2,0,0,1,1,1,1,0,6,"High School or More",84500,"$20,000+",3,3,1,74
"8",2010,26447,3,4,1,49,3,1,2,0,6,0,1,0,6,"High School or More",84500,"$20,000+",3,3,1,110
"9",2010,26489,1,4,1,86,1,0,0,1,5,0,1,0,10,"High School or More",21000,"$20,000+",2,2,1,83
"10",2010,26489,2,4,1,49,3,0,1,0,4,0,1,0,7,"High School or More",21000,"$20,000+",2,2,1,109
"11",2010,26591,1,4,2,93,1,0,0,1,5,0,1,0,6,"High School or More",35400,"$20,000+",2,2,1,84
"12",2010,26591,2,4,2,60,3,1,0,0,4,0,1,0,7,"High School or More",35400,"$20,000+",2,2,1,124
"13",2010,26604,1,4,1,83,1,0,0,1,1,1,1,0,10,"High School or More",67700,"$20,000+",3,3,1,74
"14",2010,26604,2,4,2,78,2,0,0,1,1,1,1,0,10,"High School or More",67700,"$20,000+",3,3,1,76
"15",2010,26604,3,4,2,54,3,2,1,0,6,0,1,0,6,"High School or More",67700,"$20,000+",3,3,1,110
"16",2010,26619,1,4,1,49,1,0,0,2,1,1,1,0,7,"High School or More",58700,"$20,000+",5,5,1,57
"17",2010,26619,2,4,2,43,2,5,0,2,1,1,1,0,7,"High School or More",58700,"$20,000+",5,5,1,57
"18",2010,26619,3,4,1,19,3,2,1,0,6,0,1,0,6,"High School or More",58700,"$20,000+",5,5,1,71
"19",2010,26619,4,4,1,17,3,2,1,0,6,0,1,0,5,"Less than High School",58700,"$20,000+",5,5,1,60
"20",2010,26619,5,4,2,83,6,0,0,1,5,0,1,0,2,"Less than High School",58700,"$20,000+",5,5,1,72
"21",2010,26817,1,4,2,81,1,0,0,1,1,1,1,0,5,"Less than High School",72000,"$20,000+",3,3,1,58
"22",2010,26817,2,4,1,88,2,0,0,1,1,1,1,0,6,"High School or More",72000,"$20,000+",3,3,1,75
"23",2010,26817,3,4,1,58,3,1,2,0,4,0,1,0,8,"High School or More",72000,"$20,000+",3,3,1,70
"24",2010,27043,1,4,2,80,1,0,0,1,5,0,1,0,7,"High School or More",35100,"$20,000+",2,2,1,69
"25",2010,27043,2,4,1,51,3,1,0,0,6,0,1,0,6,"High School or More",35100,"$20,000+",2,2,1,129
"26",2010,27159,1,4,1,83,1,0,0,1,1,1,1,0,10,"High School or More",146000,"$20,000+",3,3,1,117
"27",2010,27159,2,4,2,81,2,0,0,1,1,1,1,0,7,"High School or More",146000,"$20,000+",3,3,1,85
"28",2010,27159,3,4,1,30,3,2,1,0,4,0,1,0,6,"High School or More",146000,"$20,000+",3,3,1,113
"29",2010,27382,1,4,2,81,1,0,0,1,5,0,1,0,7,"High School or More",20400,"$20,000+",2,2,1,72
"30",2010,27382,2,4,2,57,3,1,0,0,4,0,1,0,4,"Less than High School",20400,"$20,000+",2,2,1,93
"31",2010,27443,1,4,1,58,1,0,3,0,1,1,1,0,10,"High School or More",108000,"$20,000+",3,3,1,81
"32",2010,27443,2,4,2,53,2,0,0,0,1,1,1,0,6,"High School or More",108000,"$20,000+",3,3,1,65
"33",2010,27443,3,4,1,80,5,0,0,1,5,0,1,0,6,"High School or More",108000,"$20,000+",3,3,1,105
"34",2010,27615,1,4,2,53,1,2,0,0,4,0,1,0,6,"High School or More",65800,"$20,000+",2,2,1,91
"35",2010,27615,2,4,2,81,5,0,0,1,4,0,1,0,6,"High School or More",65800,"$20,000+",2,2,1,122
"36",2010,27692,1,4,2,62,1,2,0,0,6,0,1,0,10,"High School or More",58000,"$20,000+",2,2,1,186
"37",2010,27692,2,4,2,83,5,0,0,1,5,0,1,0,6,"High School or More",58000,"$20,000+",2,2,1,214
"38",2010,27872,1,4,1,83,1,0,0,1,5,0,1,0,4,"Less than High School",32200,"$20,000+",2,2,1,74
"39",2010,27872,2,4,2,46,3,0,1,0,4,0,1,0,6,"High School or More",32200,"$20,000+",2,2,1,100
"40",2010,28120,1,4,2,64,1,0,0,0,1,1,1,0,8,"High School or More",41900,"$20,000+",3,3,1,73
"41",2010,28120,2,4,1,69,2,3,0,0,1,1,1,0,10,"High School or More",41900,"$20,000+",3,3,1,70
"42",2010,28120,3,4,2,93,6,0,0,1,5,0,1,0,6,"High School or More",41900,"$20,000+",3,3,1,92
"43",2010,28311,1,4,2,93,1,0,0,1,5,0,1,0,8,"High School or More",13800,"< $20,000",2,2,1,61
"44",2010,28311,2,4,2,62,3,1,0,0,6,0,1,0,6,"High School or More",13800,"< $20,000",2,2,1,92
"45",2010,28379,1,4,1,44,1,2,0,0,6,0,1,0,10,"High School or More",31800,"$20,000+",2,2,1,126
"46",2010,28379,2,4,2,81,5,0,0,1,5,0,1,0,6,"High School or More",31800,"$20,000+",2,2,1,147
"47",2010,28397,1,4,1,61,1,3,0,0,4,0,1,0,10,"High School or More",102800,"$20,000+",3,3,1,58
"48",2010,28397,2,4,2,64,7,3,0,0,4,0,1,0,10,"High School or More",102800,"$20,000+",3,3,1,67
"49",2010,28397,3,4,2,84,5,0,0,2,5,0,1,0,6,"High School or More",102800,"$20,000+",3,3,1,64
"50",2010,28467,1,4,1,85,1,0,0,1,5,0,1,0,11,"High School or More",80200,"$20,000+",2,2,1,78
"51",2010,28467,2,4,1,48,3,0,1,0,2,1,1,0,8,"High School or More",80200,"$20,000+",2,2,1,112
"52",2010,28524,1,4,2,81,1,0,0,1,5,0,1,0,7,"High School or More",47700,"$20,000+",3,3,1,47
"53",2010,28524,2,4,1,57,3,1,0,1,4,0,1,0,7,"High School or More",47700,"$20,000+",3,3,1,54
"54",2010,28524,3,4,2,13,9,0,2,0,6,0,1,0,2,"Less than High School",47700,"$20,000+",3,3,1,56
