"","...1","YEAR","SAMPLE","SERIAL","hh_id","person_id","CBSERIAL","NUMPREC","HHWT","HHTYPE","REPWT","CLUSTER","STATEFIP","STRATA","GQ","GQTYPE","GQTYPED","HHINCOME","LINGISOL","REPWT1","REPWT2","REPWT3","REPWT4","REPWT5","REPWT6","REPWT7","REPWT8","REPWT9","REPWT10","REPWT11","REPWT12","REPWT13","REPWT14","REPWT15","REPWT16","REPWT17","REPWT18","REPWT19","REPWT20","REPWT21","REPWT22","REPWT23","REPWT24","REPWT25","REPWT26","REPWT27","REPWT28","REPWT29","REPWT30","REPWT31","REPWT32","REPWT33","REPWT34","REPWT35","REPWT36","REPWT37","REPWT38","REPWT39","REPWT40","REPWT41","REPWT42","REPWT43","REPWT44","REPWT45","REPWT46","REPWT47","REPWT48","REPWT49","REPWT50","REPWT51","REPWT52","REPWT53","REPWT54","REPWT55","REPWT56","REPWT57","REPWT58","REPWT59","REPWT60","REPWT61","REPWT62","REPWT63","REPWT64","REPWT65","REPWT66","REPWT67","REPWT68","REPWT69","REPWT70","REPWT71","REPWT72","REPWT73","REPWT74","REPWT75","REPWT76","REPWT77","REPWT78","REPWT79","REPWT80","PERNUM","PERWT","FAMUNIT","FAMSIZE","SFTYPE","SFRELATE","CBSFRELATE","MOMLOC","POPLOC","NCHILD","NCHLT5","NSIBS","ELDCH","YNGCH","RELATE","RELATED","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","BPL","BPLD","ANCESTR1","ANCESTR1D","ANCESTR2","ANCESTR2D","CITIZEN","YRIMMIG","LANGUAGE","LANGUAGED","SPEAKENG","RACHSING","PREDAI","PREDAPI","PREDBLK","PREDWHT","PREDHISP","RACAMIND","RACASIAN","RACBLK","RACPACIS","RACWHT","HCOVANY","HCOVPRIV","HINSTRI","HCOVPUB","HINSCAID","HINSCARE","HINSVA","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","EMPSTAT","EMPSTATD","LABFORCE","CLASSWKR","CLASSWKRD","OCC","OCC2010","IND","UHRSWORK","INCTOT","FTOTINC","INCWAGE","INCSS","INCWELFR","INCSUPP","OCCSCORE","DIFFREM","DIFFPHYS","DIFFMOB","DIFFCARE","DIFFSENS","DIFFEYE","DIFFHEAR","TRANWORK","TRANTIME","RACESING","RACESINGD","PROBAI","PROBAPI","PROBBLK","PROBOTH","PROBWHT","QLANGUAG","SPMPOV","mother_age","father_age","hs_binary","inc_3cat","married_dummy"
"1",249166,2010,201001,144429,"201001_144429","201001_144429_1",724414,3,64,3,1,2010001444291,6,610506,1,0,0,16900,1,64,18,60,104,68,18,18,65,62,18,104,58,109,112,68,110,19,65,63,65,63,20,63,117,58,18,20,67,68,20,126,63,106,100,69,112,18,63,65,64,68,20,62,125,69,18,19,65,68,16,117,63,110,110,63,109,18,56,60,66,70,20,69,103,59,20,19,67,61,20,114,59,114,104,65,106,19,57,62,64,1,64,1,3,0,0,0,0,3,1,0,0,28,28,1,101,2,64,4,1,100,1,100,200,20000,210,2101,999,9990,2,1980,12,1200,1,5,0,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,1,6,63,0,0,0,0,1,10,2,2,29,940,940,7280,45,2900,16900,2900,0,0,0,42,1,1,1,1,1,1,1,10,30,1,10,0,0,0,0,100,0,1,NA,80,"High School or More","< $20,000",0
"2",472569,2010,201001,237648,"201001_237648","201001_237648_2",1369828,6,161,1,1,2010002376481,8,80708,1,0,0,98700,1,44,148,40,188,169,242,165,229,147,260,161,161,52,161,138,59,281,200,60,47,189,53,164,351,59,208,45,162,212,136,285,47,157,233,238,175,166,158,143,160,53,167,57,158,173,209,169,266,140,230,164,150,55,135,152,69,331,243,48,53,158,58,178,260,48,153,48,160,272,151,219,47,133,238,264,159,182,167,194,204,2,138,1,6,0,0,0,5,0,2,0,0,11,11,2,201,2,52,1,1,100,1,100,8,800,290,2900,999,9990,0,0,12,1200,4,5,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,6,64,0,0,0,0,3,30,1,2,29,5700,5700,4670,20,9900,98700,9900,0,0,0,22,1,1,1,1,1,1,1,0,0,1,10,0,0,0,0,100,0,0,93,NA,"High School or More","$20,000+",1
"3",651137,2010,201001,1240471,"201001_1240471","201001_1240471_3",915760,3,51,1,1,2010012404711,48,550048,1,0,0,15880,1,90,14,32,50,49,94,51,43,56,69,66,44,53,14,13,70,94,28,76,39,10,98,57,58,46,18,72,60,64,42,16,50,96,56,84,19,11,93,46,73,17,68,93,37,63,12,49,68,49,48,30,44,50,89,94,12,18,105,54,38,62,16,16,43,45,117,94,56,56,42,71,51,53,12,22,82,70,16,69,45,3,99,1,3,0,0,0,2,1,0,0,0,99,99,3,301,2,34,6,1,100,1,100,48,4800,210,2101,999,9990,0,0,12,1200,4,5,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,10,101,60,6001,0,0,2,20,2,2,29,4230,4230,9290,0,480,15880,0,0,0,0,14,1,1,2,1,1,1,1,0,0,1,10,0,0,0,0,100,0,1,63,83,"High School or More","< $20,000",0
"4",753457,2011,201101,31953,"201101_31953","201101_31953_1",371863,6,25,1,1,2011000319531,4,11704,1,0,0,172600,1,42,7,42,23,7,8,8,25,38,6,26,25,27,23,41,38,24,26,24,24,8,38,7,26,41,43,38,25,8,40,26,24,26,25,7,8,24,25,25,24,43,7,47,26,8,7,7,25,39,7,30,24,25,25,43,43,24,23,25,30,7,44,7,23,42,43,43,26,8,36,25,21,27,24,6,8,22,25,25,27,1,24,1,6,0,0,0,4,0,1,0,0,26,26,1,101,2,54,1,7,700,1,100,200,20000,210,2101,999,9990,2,1973,12,1200,5,5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,6,63,0,0,0,0,3,30,1,2,29,4760,4760,5270,40,56000,172600,56000,0,0,0,24,1,1,1,1,1,1,1,0,0,1,12,0,0,0,0,100,0,0,89,NA,"High School or More","$20,000+",1
"5",763947,2011,201101,36462,"201101_36462","201101_36462_2",619903,2,36,3,1,2011000364621,4,90004,1,0,0,20630,1,41,58,59,54,11,10,56,30,14,57,48,42,43,16,39,33,32,34,11,44,35,37,69,55,11,8,45,34,8,57,78,35,53,11,41,38,37,45,8,47,39,38,64,67,8,8,60,45,8,66,78,45,41,13,34,29,29,34,9,29,45,49,48,47,12,11,62,37,10,64,62,37,39,12,41,37,28,38,11,36,2,196,1,2,0,0,0,1,0,0,0,0,99,99,3,301,1,42,6,1,100,1,100,4,400,210,2101,999,9990,0,0,12,1200,4,5,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,3,30,0,0,0,0,3,30,1,2,29,6050,6050,170,0,2530,20630,0,0,2400,0,9,1,1,1,1,1,1,1,0,0,1,10,0,0,0,0,100,0,0,83,NA,"Less than High School","$20,000+",0
"6",891260,2011,201101,101783,"201101_101783","201101_101783_3",364557,3,45,1,1,2011001017831,6,510006,1,0,0,32200,1,66,48,75,12,50,77,93,42,44,49,46,42,14,45,74,14,37,14,56,87,15,43,14,78,42,13,14,46,44,44,44,48,79,43,12,66,46,76,42,70,14,44,11,83,45,13,14,44,47,52,44,46,76,42,13,75,44,77,47,16,86,50,83,13,41,77,68,46,43,38,43,42,14,47,75,13,48,14,43,12,3,66,1,3,0,0,0,2,1,0,0,0,99,99,3,301,2,55,6,1,100,1,100,6,600,211,2110,999,9990,0,0,12,1200,4,5,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,7,71,0,0,0,0,3,30,1,2,29,5860,5860,7580,0,0,32200,0,0,0,0,25,1,1,1,1,1,1,1,0,0,1,10,0,0,0,0,100,0,1,77,81,"High School or More","$20,000+",0
"7",1011419,2011,201101,149424,"201101_149424","201101_149424_3",854396,4,82,1,1,2011001494241,6,750106,1,0,0,115500,1,75,167,65,77,142,142,141,134,103,130,91,162,88,81,85,76,133,131,68,24,83,23,105,70,27,24,24,23,74,25,82,24,64,84,79,77,26,22,102,111,74,137,65,92,152,116,130,157,85,124,97,186,93,76,82,66,116,119,67,24,88,21,99,92,28,24,25,27,76,25,72,22,70,72,83,85,27,35,100,144,3,91,1,4,3,1,1,2,1,1,0,0,10,10,3,301,1,61,4,1,100,1,100,6,600,211,2110,999,9990,0,0,1,100,3,5,0,0,0,0,1,1,1,1,1,2,2,1,1,2,1,1,2,7,71,0,0,0,0,3,30,1,2,29,6460,6460,770,0,33000,115500,0,0,0,0,29,1,1,1,1,1,1,1,0,0,1,10,0,0,0,0,100,0,0,84,84,"High School or More","$20,000+",0
"8",1107854,2011,201101,187540,"201101_187540","201101_187540_1",1244211,6,85,1,1,2011001875401,6,290006,1,0,0,76200,1,79,78,81,24,24,140,29,101,94,139,167,128,77,89,24,154,96,26,88,145,24,163,129,81,90,69,76,29,141,90,91,87,25,154,85,80,28,95,27,81,83,100,88,26,27,157,27,72,82,160,146,136,90,96,24,153,81,21,83,122,31,186,158,81,85,81,80,27,146,93,96,82,23,162,84,79,25,83,27,100,1,85,1,6,0,0,0,6,0,3,0,0,26,16,1,101,2,54,1,1,100,1,100,200,20000,210,2101,999,9990,2,1978,12,1200,6,5,0,0,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,2,23,0,0,0,0,1,10,2,2,29,4610,4610,9290,40,13700,76200,13700,0,0,0,16,1,1,1,1,1,1,1,80,0,1,10,0,0,0,0,100,0,0,82,NA,"Less than High School","$20,000+",1
"9",1127935,2011,201101,195510,"201101_195510","201101_195510_2",1326151,2,59,3,1,2011001955101,6,610406,1,0,0,12580,1,18,119,19,58,61,86,100,91,57,69,16,92,59,19,54,46,62,64,18,17,68,67,58,103,17,64,55,61,115,17,71,66,82,49,105,103,19,14,51,53,20,93,18,58,59,87,88,109,75,53,17,105,66,17,57,57,63,56,18,20,52,63,61,103,16,62,51,56,102,19,67,58,94,76,89,97,15,15,58,53,2,66,1,2,0,0,0,1,0,0,0,0,99,99,3,301,1,49,6,1,100,1,100,6,600,211,2110,999,9990,0,0,12,1200,4,5,0,0,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,10,101,62,6200,0,0,1,10,2,2,29,430,430,7070,5,580,12580,580,0,0,0,42,1,1,1,1,1,1,1,80,0,1,10,0,0,0,0,100,0,1,82,NA,"High School or More","< $20,000",0
"10",1393504,2011,201101,1209382,"201101_1209382","201101_1209382_3",926617,3,48,1,1,2011012093821,48,320048,1,0,0,55380,1,49,54,42,47,78,89,82,49,14,67,119,55,61,116,42,15,13,16,49,88,44,64,45,35,11,13,12,39,73,43,19,48,32,13,44,90,87,87,48,14,73,49,39,54,105,82,88,49,15,42,93,59,79,97,46,9,15,28,48,72,78,42,42,55,12,12,12,37,88,39,15,51,57,13,46,51,80,130,47,16,3,120,1,3,0,0,0,2,1,0,0,0,99,99,3,301,1,55,4,1,100,1,100,48,4800,211,2110,999,9990,0,0,12,1200,4,5,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,6,63,0,0,0,0,3,30,1,2,29,4610,4610,8170,99,16200,55380,16200,0,0,0,16,1,1,1,1,1,1,1,0,0,1,10,0,0,0,0,100,0,0,85,85,"High School or More","$20,000+",0
