"","YEAR","SERIAL","PERNUM","STATEFIP","RELATE","RELATED","MOMLOC","POPLOC","NCHILD","SEX","AGE","mother_age","father_age","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","PERWT"
"1",2010,26305,1,4,1,101,2,0,0,1,57,88,NA,2,1,1,0,10,"High School or More",92800,"$20,000+",2,2,83
"2",2010,26374,3,4,3,301,2,1,0,1,57,80,93,4,0,1,0,10,"High School or More",25800,"$20,000+",3,3,73
"3",2010,26447,3,4,3,301,1,2,0,1,49,81,84,6,0,1,0,6,"High School or More",84500,"$20,000+",3,3,110
"4",2010,26489,2,4,3,301,0,1,0,1,49,NA,86,4,0,1,0,7,"High School or More",21000,"$20,000+",2,2,109
"5",2010,26591,2,4,3,301,1,0,0,2,60,93,NA,4,0,1,0,7,"High School or More",35400,"$20,000+",2,2,124
"6",2010,26604,3,4,3,301,2,1,0,2,54,78,83,6,0,1,0,6,"High School or More",67700,"$20,000+",3,3,110
"7",2010,26619,2,4,2,201,5,0,2,2,43,83,NA,1,1,1,0,7,"High School or More",58700,"$20,000+",5,5,57
"8",2010,26817,3,4,3,301,1,2,0,1,58,81,88,4,0,1,0,8,"High School or More",72000,"$20,000+",3,3,70
"9",2010,27043,2,4,3,301,1,0,0,1,51,80,NA,6,0,1,0,6,"High School or More",35100,"$20,000+",2,2,129
"10",2010,27159,3,4,3,301,2,1,0,1,30,81,83,4,0,1,0,6,"High School or More",146000,"$20,000+",3,3,113
"11",2010,27382,2,4,3,301,1,0,0,2,57,81,NA,4,0,1,0,4,"Less than High School",20400,"$20,000+",2,2,93
"12",2010,27443,1,4,1,101,0,3,0,1,58,NA,80,1,1,1,0,10,"High School or More",108000,"$20,000+",3,3,81
"13",2010,27615,1,4,1,101,2,0,0,2,53,81,NA,4,0,1,0,6,"High School or More",65800,"$20,000+",2,2,91
"14",2010,27692,1,4,1,101,2,0,0,2,62,83,NA,6,0,1,0,10,"High School or More",58000,"$20,000+",2,2,186
"15",2010,27872,2,4,3,301,0,1,0,2,46,NA,83,4,0,1,0,6,"High School or More",32200,"$20,000+",2,2,100
"16",2010,28120,2,4,2,201,3,0,0,1,69,93,NA,1,1,1,0,10,"High School or More",41900,"$20,000+",3,3,70
"17",2010,28311,2,4,3,301,1,0,0,2,62,93,NA,6,0,1,0,6,"High School or More",13800,"< $20,000",2,2,92
"18",2010,28379,1,4,1,101,2,0,0,1,44,81,NA,6,0,1,0,10,"High School or More",31800,"$20,000+",2,2,126
"19",2010,28397,1,4,1,101,3,0,0,1,61,84,NA,4,0,1,0,10,"High School or More",102800,"$20,000+",3,3,58
"20",2010,28397,2,4,7,701,3,0,0,2,64,84,NA,4,0,1,0,10,"High School or More",102800,"$20,000+",3,3,67
"21",2010,28467,2,4,3,301,0,1,0,1,48,NA,85,2,1,1,0,8,"High School or More",80200,"$20,000+",2,2,112
"22",2010,28524,2,4,3,301,1,0,1,1,57,81,NA,4,0,1,0,7,"High School or More",47700,"$20,000+",3,3,54
"23",2010,28526,2,4,2,201,0,3,0,2,58,NA,84,1,1,1,0,11,"High School or More",181300,"$20,000+",3,3,81
"24",2010,28832,2,4,3,301,1,0,0,1,57,80,NA,4,0,1,0,6,"High School or More",13400,"< $20,000",2,2,98
"25",2010,29023,1,4,1,101,2,0,0,1,60,86,NA,2,1,1,0,10,"High School or More",117700,"$20,000+",2,2,202
